49,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,CORE2023,B,Yes,4606,,
50,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,CORE2023,C,Yes,4612,,
51,ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,CORE2018,C,No,0803,,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B,Yes,4606,,
53,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,CORE2017,B,No,0803,,
54,ACM SIGUCCS Conference on User Services,SIGUCCS,CORE2023,National: USA,No,4601,,
55,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2023,A,Yes,4608,,
56,ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*,Yes,4605,,
57,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2018,B,No,0806,,
1775,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,CORE2023,C,No,4604,,
59,ACM Symposium on Applied Computing,SAC,CORE2023,Multiconference,No,4601,,
2003,ACM Symposium on Document Engineering,DocEng,CORE2023,B,Yes,4605,,
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A,Yes,4606,,
62,ACM Symposium on Principles of Database Systems,SPDS,CORE2018,C,No,0804,,
63,ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*,Yes,4606,,
2137,ACM Symposium on Software Reusability ,SSR,CORE2018,A,No,0803,,
64,ACM Symposium on Solid and Physical Modelling,SPM,CORE2023,C,No,4607,4603,
65,ACM Symposium on Theory of Computing,STOC,CORE2023,A*,Yes,4613,,
66,ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*,Yes,4608,,
67,ACM Virtual Reality Software and Technology,VRST,CORE2023,A,Yes,4607,,
68,ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,CORE2018,C,No,0803,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA,No,4606,,
70,ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,CORE2018,C,No,0803,,
71,ACM Workshop on Role Based Access Control (now SACMAT),RBAC,CORE2014,C,No,0802,,
72,ACM Workshop on Scalable Trusted Computing,STC,CORE2018,B,No,0803,,
73,ACM Workshop on Secure Web Services,SWS,CORE2018,C,No,0801,,
74,ACM Workshop on Web Information and Data Management,WIDM,CORE2018,B,No,0806,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*,Yes,4612,,
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*,Yes,4612,,
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,Yes,4607,,
75,ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,CORE2023,B,No,4606,,
2310,ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A,Yes,4608,4602,
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2023,A,Yes,4606,,
2246,ACM/IEEE Symposium on Edge Computing,SEC,CORE2023,unranked,Yes,4606,,
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2023,A,Yes,4606,,
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*,Yes,4613,,
2278,ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B,Yes,4612,4606,
81,ACM/SPIE Multimedia Computing and Networking,MMCN,CORE2018,A,No,0801,,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,Yes,46,,
87,Active and Real-Time Database Systems,ARTDB,CORE2018,C,No,0804,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,Yes,4603,,
90,Advanced Course on Artificial Intelligence,ACAI,CORE2018,C,No,0801,,
91,Advanced Research in VLSI,ARVLSI,CORE2018,C,No,0805,,
93,Advanced Visual Interfaces,AVI,CORE2023,B,No,4608,,
94,Advances in Cryptology,CRYPTO,CORE2023,A*,Yes,4604,,
95,Advances in Information Systems,ADVIS,CORE2018,C,No,0806,,
96,Advances in Intelligent Systems,AIS,CORE2018,C,No,0801,,
97,Advances in Modal Logic,AiML,CORE2023,B,Yes,4613,,
98,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*,Yes,4611,,
99,Advances in the Theory of Computing,AITC,CORE2018,C,No,0802,,
100,Agent-Oriented Information Systems Workshop,AOIS,CORE2014,B,No,0801,,
101,Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,ERA2010,C,No,0801,0803,
102,AIAA Aerospace Sciences Meeting,,ERA2010,B,No,0901,,
103,AIChE Annual Meeting,,ERA2010,C,No,09,,
104,AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,ERA2010,B,No,1203,,
105,Algebraic Methodology and Software Technology,AMAST,CORE2018,C,No,0802,0803,
106,Algorithmic Learning Theory,ALT,CORE2023,B,Yes,4611,,
107,Algorithms and Complexity in Durham,ACID,CORE2018,C,No,0802,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,Yes,4613,,
1964,Algorithms and Experiments,ALEX,CORE2018,B,No,,,
109,Ambient Information Systems,AIS,ERA2010,B,No,1203,,
110,Ambient Intelligence Developments,Aml.d,CORE2018,C,No,0801,,
111,American Association of Cost Engineers Annual Meeting,AACE,ERA2010,A,No,1202,,
112,American Federation of Information Processing Societies,AFIPS,CORE2018,A,Yes,0801,0806,0802
1968,American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA,No,4601,,
113,"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,ERA2010,A,No,1202,,
114,American Society of Mechanical Engineering,,ERA2010,A,No,0913,0905,0903
115,Americas Conference on Information Systems,AMCIS,CORE2018,A,No,0806,,
116,Americas Conference on Wind Engineering,,ERA2010,B,No,0905,,
117,Annual Computer Security Applications Conference,ACSAC,CORE2023,A,Yes,4604,,
1976,Annual conference of American Society for Information Science and Technology,ASIS&T,CORE2008,A,Yes,,,
118,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,CORE2018,Australasian,Yes,0899,,
