6/1/2024,12/1/2027,"Projektleiter PosAIdon", "Personenbergung in See mit Hilfe von Verfahren des maschinellen Lernens", "Universität zu Lübeck", "research","Auftragsforschung, öffentlicher Auftraggeber (Angebotsannahme zeitnah erwartet)"
"","","","","","","Rolle: Projektleiter. Team: 1,5 Doktoranden"
