"Membership","Type"
"Mitglied der Gesellschaft für Informatik (GI)"," "
"Mitglied der Association for Computing Machinery (ACM)",""
"Mitglied der Institute of Electrical and Electronics Engineers (IEEE)",""
"Mitglied des Technical Comittee: Work with Computer Systems (WWCS) of the International Ergonomics Association (IEA)",""
"Mitglied des Technical Comittee: Visual Ergonomics of the International Ergonomics Association (IEA)",""
"Mitglied des Expertennetzwerks Human-Centered AI: human-centered.ai",""
"Mitglied der European Social Simulation Association (ESSA)",""
"Mitglied der Sprechergruppe des Modellierungsnetzwerks für schwere Infektionskrankheiten (MONID)",""
"Mitglied der IFIP WG 13.5 on Resilience, Reliability, Safety and Human Error in System Development (ab 2024)",""
