Membership,Type
Member of Gesellschaft für Informatik (GI)," "
Member of Association for Computing Machinery (ACM),
Member of Institute of Electrical and Electronics Engineers (IEEE),
Member of the American Psychological Association (APA),
Member of Technical Comittee: Work with Computer Systems (WWCS) of the International Ergonomics Association (IEA),
Member Technical Comittee: Visual Ergonomics of the International Ergonomics Association (IEA),
Member of the Expert-Network: Human-Computer Interaction in Knowledge Discovery and Data-Mining (HCI-KDD),
Member of the European Social Simulation Association (ESSA),
Member of the Speakers Group of Modelling Network for Severe Diseases (MONID),
