what,when,with,where,why
Author of the `seminrstudio` package,2021-01-01,,https://github.com/sem-in-r/seminrstudio,Interactive Addins for the SEMinR package in RStudio
Author of `SEMinR` package,2020-01-01,,https://github.com/sem-in-r/seminr,An easy to use domain-specific-language for structural equation modelling (PLS-SEM & CB-SEM)
Author of `gghilbertstrings` package,2020-01-01,,https://github.com/Sumidu/gghilbertstrings,A package for visualization of linear data in 2D using Hilbert curves (ggplot-Extension).
Author of `rmd_formats` package,2019-01-01,,https://github.com/statisticsforsocialscience/rmd_templates,RMarkdown-Templates for LNCS.
